officer_id	sheet_branch	sheet_region
1639	AYOBO 1	SAPPHIRE
5419	SANGO	SAPPHIRE
1565	APONGBON	HILANDER
1391	IKEJA	GARNET
1687	IKOTUN2	EMERALD
32		
2009	ELEKO	HILANDER
5557	FESTAC	RUBY
1654	FESTAC	RUBY
1676		
2133	BENSON	RUBY
1530		
5180		
5493	KAM	
4782		
4936		
7093		
1329		
3800		
1655	ALABA	CRYSTAL
5741		
1587	IKEJA	NONE
5662		
3796	IKORODU BENSON	RUBY
1968	IKOTUN 2	EMERALD
4767	IKEJA	GARNET
6744		
1551	OKO AFO	OPAL
510	BARIGA	GARNET
1477	BENSON	RUBY
6588	AYOBO 2	SAPPHIRE
1286	SABO	SAPPHIRE
5280	KAM1	
2144	MUSHIN	SAPPHIRE
6210		
4638	IKOTUN 1	OPAL
5022		OPAL
5432	AJGUNLE 2	EMERALD
1100		
6112		
6208		
1620	AYOBO	SAPPHIRE
1500	AGRIC	RUBY
6882	IYANA IPAJA 2	OPAL
3808	IGANDO	EMERALD
6905		
1473	AGRIC	RUBY
6768	IJEGUN	JADE
1947	SANGO	SAPPHIRE
1334	BENSON	RUBY
5395	AJAH 2	HILANDER
5040		
4583		
1297	BARIGA	GARNET
6918	AGBARA	CRYSTAL
6481		
1174	SANGO	SAPPHIRE
2079	TEJUOSHO	GARNET
1393	OKOAFOR	OPAL
6544		
6764		
1348	OGIJO	RUBY
1483	IKOTUN 2	EMERALD
6906	IYANA IBA	CRYSTAL
6067	EPE	HILANDER
4988		
4967	OSHODI	EMERALD
1705		
1885		
6410	IKOTUN 2	EMERALD
334	SANGO	SAPHIRE
1548	ALABA	CRYSTAL
6705	YABA	GARNET
1511	SANGO	SAPHIRE
2168		
1460	KAM1	
5811		
1619	MOWE	OPAL
6565	MOWE	OPAL
1505	ALABA	CRYSTAL
2076	TEJUOSHO	GARNET
1728	MUSHIN	SAPPHIRE
1396	IDIMU	LEAST OF YOUR REPORT
550	YABA	GARNET
4692		
6666	KAM1	
5851	AGEGE	GARNET
5558		
6656		
5561	IKORODU BENSON	RUBY
6568	ALABA	CRYSTAL
6385	IKOTUN 2	EMERALD
2001	BENSON	RUBY
1510	EGBEDA 1	OPAL
1269	KAM 1	
1575	BARIGA	GARNET
5710	KAM1	
1196	AGEGE	GARNET
